127.0.0.1 - - [27/Dec/2021:22:26:18 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:21 +0900] "GET /viewpages/loginpage.action HTTP/1.1" 200 12892
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:21 +0900] "GET /viewpages/css/bootstrap.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:21 +0900] "GET /viewpages/css/font-awesome.min.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:21 +0900] "GET /viewpages/js/bootstrap.min.js HTTP/1.1" 200 63240
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:21 +0900] "GET /viewpages/css/font-awesome.min.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "POST /viewpages/login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/mainpage.action HTTP/1.1" 200 21060
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/css/font-awesome.min.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/css/mainpage.css HTTP/1.1" 200 7118
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/camping.jpg HTTP/1.1" 200 23354022
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/travel.png HTTP/1.1" 200 87786
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/cooking.png HTTP/1.1" 200 159843
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/excercise.png HTTP/1.1" 200 55333
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/music.png HTTP/1.1" 200 66894
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/party.png HTTP/1.1" 200 47241
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/idea.png HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [27/Dec/2021:22:26:25 +0900] "GET /viewpages/images/edu.png HTTP/1.1" 200 5489
